true_label,risk_score,classification,severity,ae_flagged,km_flagged
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.0845,KNOWN,LOW,False,False
DDOS-SYN_FLOOD,0.4329,SUSPECT,MEDIUM,True,False
VULNERABILITYSCAN,0.2666,KNOWN,LOW,False,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DOS-UDP_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.3798,SUSPECT,MEDIUM,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.465,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.3941,SUSPECT,MEDIUM,True,False
DOS-UDP_FLOOD,0.4717,ROGUE,HIGH,True,False
DDOS-UDP_FLOOD,0.4493,ROGUE,HIGH,True,False
DDOS-UDP_FLOOD,0.3806,SUSPECT,MEDIUM,True,False
RECON-HOSTDISCOVERY,0.362,SUSPECT,MEDIUM,True,False
DOS-TCP_FLOOD,0.4853,ROGUE,HIGH,True,False
MITM-ARPSPOOFING,0.4698,ROGUE,HIGH,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.3703,SUSPECT,MEDIUM,True,False
DOS-SYN_FLOOD,0.4202,SUSPECT,MEDIUM,True,False
DOS-HTTP_FLOOD,0.3106,SUSPECT,MEDIUM,True,False
DOS-SYN_FLOOD,0.3439,SUSPECT,MEDIUM,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.5509,ROGUE,HIGH,True,False
BENIGN,0.4471,ROGUE,HIGH,True,False
DDOS-SYN_FLOOD,0.5511,ROGUE,HIGH,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.1817,KNOWN,LOW,False,False
DOS-UDP_FLOOD,0.4722,ROGUE,HIGH,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-SYN_FLOOD,0.5338,ROGUE,HIGH,True,False
MITM-ARPSPOOFING,0.3578,SUSPECT,MEDIUM,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-SYN_FLOOD,0.509,ROGUE,HIGH,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.318,SUSPECT,MEDIUM,True,False
DOS-TCP_FLOOD,0.4158,SUSPECT,MEDIUM,True,False
RECON-HOSTDISCOVERY,0.5001,ROGUE,HIGH,True,False
DOS-SYN_FLOOD,0.4079,SUSPECT,MEDIUM,True,False
DOS-UDP_FLOOD,0.4377,SUSPECT,MEDIUM,True,False
BENIGN,0.0528,KNOWN,LOW,False,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-SYN_FLOOD,0.4846,ROGUE,HIGH,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DNS_SPOOFING,0.3194,SUSPECT,MEDIUM,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DOS-SYN_FLOOD,0.5535,ROGUE,HIGH,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-SYN_FLOOD,0.5407,ROGUE,HIGH,True,False
DOS-SYN_FLOOD,0.5425,ROGUE,HIGH,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.3008,KNOWN,LOW,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
MITM-ARPSPOOFING,0.3093,KNOWN,LOW,True,False
DOS-TCP_FLOOD,0.4613,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.5602,ROGUE,HIGH,True,False
DOS-SYN_FLOOD,0.4832,ROGUE,HIGH,True,False
DOS-TCP_FLOOD,0.4849,ROGUE,HIGH,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.544,ROGUE,HIGH,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.4118,SUSPECT,MEDIUM,True,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.5395,ROGUE,HIGH,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-SYN_FLOOD,0.4247,SUSPECT,MEDIUM,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.5354,ROGUE,HIGH,True,False
BENIGN,0.071,KNOWN,LOW,False,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DICTIONARYBRUTEFORCE,0.2825,KNOWN,LOW,False,False
BENIGN,0.065,KNOWN,LOW,False,False
BENIGN,0.0669,KNOWN,LOW,False,False
RECON-PORTSCAN,0.1815,KNOWN,LOW,False,False
DDOS-TCP_FLOOD,0.3966,SUSPECT,MEDIUM,True,False
DOS-UDP_FLOOD,0.3,KNOWN,LOW,True,False
BENIGN,0.1348,KNOWN,LOW,False,False
BENIGN,0.1969,KNOWN,LOW,False,False
DDOS-UDP_FLOOD,0.4019,SUSPECT,MEDIUM,True,False
DDOS-SYN_FLOOD,0.509,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-HTTP_FLOOD,0.3005,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
MITM-ARPSPOOFING,0.3007,KNOWN,LOW,True,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.43,SUSPECT,MEDIUM,True,False
DDOS-UDP_FLOOD,0.4717,ROGUE,HIGH,True,False
BENIGN,0.106,KNOWN,LOW,False,False
DDOS-TCP_FLOOD,0.4369,SUSPECT,MEDIUM,True,False
DOS-UDP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-SYN_FLOOD,0.5602,ROGUE,HIGH,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.4846,ROGUE,HIGH,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.3366,SUSPECT,MEDIUM,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DNS_SPOOFING,0.0001,KNOWN,LOW,False,False
DOS-TCP_FLOOD,0.4804,ROGUE,HIGH,True,False
DDOS-SYN_FLOOD,0.5415,ROGUE,HIGH,True,False
BENIGN,0.1796,KNOWN,LOW,False,False
DDOS-SYNONYMOUSIP_FLOOD,0.5535,ROGUE,HIGH,True,False
DOS-TCP_FLOOD,0.4835,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-HTTP_FLOOD,0.3028,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.4369,SUSPECT,MEDIUM,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-SYN_FLOOD,0.5482,ROGUE,HIGH,True,False
DDOS-UDP_FLOOD,0.4258,SUSPECT,MEDIUM,True,False
DOS-UDP_FLOOD,0.4556,ROGUE,HIGH,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
VULNERABILITYSCAN,0.0496,KNOWN,LOW,False,False
MITM-ARPSPOOFING,0.3107,SUSPECT,MEDIUM,True,False
DDOS-SYNONYMOUSIP_FLOOD,0.5407,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-GREETH_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DOS-UDP_FLOOD,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-SYN_FLOOD,0.5444,ROGUE,HIGH,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
RECON-HOSTDISCOVERY,0.1793,KNOWN,LOW,False,False
DOS-UDP_FLOOD,0.4485,ROGUE,HIGH,True,False
DDOS-UDP_FLOOD,0.3284,SUSPECT,MEDIUM,True,False
DDOS-UDP_FLOOD,0.4244,SUSPECT,MEDIUM,True,False
RECON-PORTSCAN,0.3965,SUSPECT,MEDIUM,True,False
DDOS-SYN_FLOOD,0.5435,ROGUE,HIGH,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-SYN_FLOOD,0.4394,SUSPECT,MEDIUM,True,False
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-TCP_FLOOD,0.4869,ROGUE,HIGH,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.3883,SUSPECT,MEDIUM,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-TCP_FLOOD,0.3904,SUSPECT,MEDIUM,True,False
RECON-PORTSCAN,0.7233,ROGUE,CRITICAL,True,True
DDOS-ICMP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-TCP_FLOOD,0.4932,ROGUE,HIGH,True,False
MIRAI-UDPPLAIN,0.3035,KNOWN,LOW,True,False
DOS-HTTP_FLOOD,0.3,KNOWN,LOW,True,False
MITM-ARPSPOOFING,0.0682,KNOWN,LOW,False,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DOS-UDP_FLOOD,0.3,KNOWN,LOW,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
RECON-OSSCAN,0.5305,ROGUE,HIGH,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
MIRAI-GREETH_FLOOD,0.3374,SUSPECT,MEDIUM,True,False
DDOS-TCP_FLOOD,0.4148,SUSPECT,MEDIUM,True,False
DDOS-TCP_FLOOD,0.4257,SUSPECT,MEDIUM,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
BENIGN,0.0351,KNOWN,LOW,False,False
MITM-ARPSPOOFING,0.1654,KNOWN,LOW,False,False
DOS-SYN_FLOOD,0.4808,ROGUE,HIGH,True,False
RECON-PORTSCAN,0.2165,KNOWN,LOW,False,False
MIRAI-GREIP_FLOOD,0.3,KNOWN,LOW,True,False
DOS-SYN_FLOOD,0.5611,ROGUE,HIGH,True,False
VULNERABILITYSCAN,0.1589,KNOWN,LOW,False,False
RECON-PORTSCAN,0.2248,KNOWN,LOW,False,False
DOS-UDP_FLOOD,0.3914,SUSPECT,MEDIUM,True,False
DDOS-ICMP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.4974,ROGUE,HIGH,True,False
RECON-OSSCAN,0.2353,KNOWN,LOW,False,False
DOS-SYN_FLOOD,0.3678,SUSPECT,MEDIUM,True,False
DDOS-UDP_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DOS-TCP_FLOOD,0.4917,ROGUE,HIGH,True,False
DDOS-RSTFINFLOOD,0.3,KNOWN,LOW,True,False
RECON-PORTSCAN,0.4057,SUSPECT,MEDIUM,True,False
VULNERABILITYSCAN,0.2376,KNOWN,LOW,False,False
DDOS-PSHACK_FLOOD,0.3,KNOWN,LOW,True,False
DOS-TCP_FLOOD,0.3949,SUSPECT,MEDIUM,True,False
BENIGN,0.408,SUSPECT,MEDIUM,False,True
DOS-UDP_FLOOD,0.4717,ROGUE,HIGH,True,False
MIRAI-UDPPLAIN,0.3,KNOWN,LOW,True,False
DDOS-UDP_FLOOD,0.4775,ROGUE,HIGH,True,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DDOS-HTTP_FLOOD,0.3008,KNOWN,LOW,True,False
DOS-TCP_FLOOD,0.463,ROGUE,HIGH,True,False
RECON-PORTSCAN,0.0924,KNOWN,LOW,False,False
DDOS-ACK_FRAGMENTATION,0.3,KNOWN,LOW,True,False
DNS_SPOOFING,0.073,KNOWN,LOW,False,False
BENIGN,0.0687,KNOWN,LOW,False,False
